1277,23 EAST 32ND   STREET                    ,Brooklyn,NY,11226
1278,1186 PARK PLACE                          ,Brooklyn,NY,11213
1279,2632 EAST 22ND ST                        ,Brooklyn,NY,11235
1280,1273 ROGERS AVE                          ,Brooklyn,NY,11226
1281,36 BAY 10TH   STREET                     ,Brooklyn,NY,11228
1282,247 ELDERT STREET                        ,Brooklyn,NY,11207
1283,1857 PARK PLACE                          ,Brooklyn,NY,11233
1284,1713 AVENUE T                            ,Brooklyn,NY,11229
1285,88 MARION ST.                            ,Brooklyn,NY,11233
1286,66 MARTENSE STREET                       ,Brooklyn,NY,11226
1287,1163 EAST 32ND   STREET                  ,Brooklyn,NY,11210
1288,223 61ST STREET                          ,Brooklyn,NY,11220
1289,1166 EAST 32ND   STREET                  ,Brooklyn,NY,11210
1290,86 AVENUE T                              ,Brooklyn,NY,11223
1291,937 TROY AVENUE                          ,Brooklyn,NY,11203
1292,116 WARWICK STREET                       ,Brooklyn,NY,11207
1293,441 EAST 2ND ST                          ,Brooklyn,NY,11218
1294,1559 EAST 9TH   STREET                   ,Brooklyn,NY,11230
1295,1052 EAST 29TH STREET                    ,Brooklyn,NY,11210
1296,356 AVENUE W                             ,Brooklyn,NY,11223
1297,1968 WEST 9TH STREET                     ,Brooklyn,NY,11223
1298,326A MADISON ST                          ,Brooklyn,NY,11216
1299,4562 BEDFORD AVE                         ,Brooklyn,NY,11235
1300,4735 BEDFORD AVENUE                      ,Brooklyn,NY,11235
1301,1637 WEST 2ND STREET                     ,Brooklyn,NY,11223
1302,1024 76TH STREET                         ,Brooklyn,NY,11228
1303,1120 EAST 32ND   STREET                  ,Brooklyn,NY,11210
1304,321 EAST 9TH STREET                      ,Brooklyn,NY,11218
1305,6219 23RD   AVENUE                       ,Brooklyn,NY,11204
1306,1133 EAST 15 STREET                      ,Brooklyn,NY,11230
1307,241 EAST 32ND STREET                     ,Brooklyn,NY,11226
1308,615 GREENWOOD AVENUE                     ,Brooklyn,NY,11218
1309,710A MONROE STREET                       ,Brooklyn,NY,11221
1310,224 BAY 23RD STREET                      ,Brooklyn,NY,11214
1311,765 QUINCY STREET                        ,Brooklyn,NY,11221
1312,3023 AVENUE T                            ,Brooklyn,NY,11229
1313,248 EAST 9TH   STREET                    ,Brooklyn,NY,11218
1314,1933 EAST 18TH STREET                    ,Brooklyn,NY,11229
1315,1219 EAST 31ST   STREET                  ,Brooklyn,NY,11210
1316,2216 EAST 26TH   STREET                  ,Brooklyn,NY,11229
1317,1992 NOSTRAND AVENUE                     ,Brooklyn,NY,11210
1318,8817 BAY 16TH STREET                     ,Brooklyn,NY,11214
1319,1143 74TH   STREET                       ,Brooklyn,NY,11228
1320,1652 EAST 32 STREET                      ,Brooklyn,NY,11234
1321,1078 EAST 32ND STREET                    ,Brooklyn,NY,11210
1322,2139 EAST 16TH   STREET                  ,Brooklyn,NY,11229
1323,2086 DEAN STREET                         ,Brooklyn,NY,11233
1324,259 EAST 5TH STREET                      ,Brooklyn,NY,11218
1325,1971 EAST 17TH STREET                    ,Brooklyn,NY,11229
1326,1915 66TH STREET                         ,Brooklyn,NY,11204
1327,1345 JEFFERSON AVENUE                    ,Brooklyn,NY,11221
1328,6703 13TH   AVENUE                       ,Brooklyn,NY,11219
1329,3216 FARRAGUT ROAD                       ,Brooklyn,NY,11210
1330,926A LAFAYETTE AVENUE                    ,Brooklyn,NY,11221
1331,2721 EAST 21ST STREET                    ,Brooklyn,NY,11235
1332,41 SOUTHGATE COURT                       ,Brooklyn,NY,11223
