ID,ADDRESS,CITY,STATE,ZIP CODE,LNG,LAT,NEIGHBORHOOD,BUILDING CLASS CATEGORY,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,SALE DATE
80,575 EAST 18TH STREET,Brooklyn,NY,11226,-73.960754,40.63725,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS,"8,640","3,744",1910,"233,220",4/7/17
81,979 EAST 38TH STREET,Brooklyn,NY,11210,-73.93975,40.63142,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,"2,000","1,260",1930,"234,000",2/1/17
83,276 GRANT AVENUE,Brooklyn,NY,11208,-73.86743,40.684155,CYPRESS HILLS,02 TWO FAMILY DWELLINGS,"2,500","2,080",1910,"235,000",3/21/17
84,98 EAST 39TH STREET,Brooklyn,NY,11203,-73.94136,40.65495,FLATBUSH-NORTH,02 TWO FAMILY DWELLINGS,"1,842","1,980",1950,"237,500",2/16/17
85,470 HENDRIX STREET,Brooklyn,NY,11207,-73.88874,40.67016,EAST NEW YORK,01 ONE FAMILY DWELLINGS,"1,802","1,116",1989,"240,000",3/16/17
86,115 ABBEY COURT,Brooklyn,NY,11229,-73.92293,40.59022,GERRITSEN BEACH,01 ONE FAMILY DWELLINGS,"1,800",600,1920,"240,000",5/5/17
87,847 EAST 57TH STREET,Brooklyn,NY,11234,-73.92149,40.632164,FLATLANDS,02 TWO FAMILY DWELLINGS,"2,000","2,140",1960,"245,000",5/1/17
88,200 BRIGHTON 10 STREET,Brooklyn,NY,11235,-73.95761,40.581684,BRIGHTON BEACH,01 ONE FAMILY DWELLINGS,"2,400",924,1930,"250,000",1/30/17
89,3845 NEPTUNE AVENUE,Brooklyn,NY,11224,-74.006615,40.57652,SEAGATE,02 TWO FAMILY DWELLINGS,"3,000","2,305",1935,"250,000",2/27/17
90,2235 EAST 38 STREET,Brooklyn,NY,11234,-73.925575,40.606815,MARINE PARK,01 ONE FAMILY DWELLINGS,"2,100","1,036",1925,"250,000",3/7/17
91,5206 SNYDER AVE,Brooklyn,NY,11203,-73.92814,40.65023,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS,"2,300","2,052",1920,"250,000",3/16/17
93,2035 EAST 59TH STREET,Brooklyn,NY,11234,-73.91721,40.61504,OLD MILL BASIN,02 TWO FAMILY DWELLINGS,"2,000","1,760",1955,"250,000",4/26/17
94,160 WELDON STREET,Brooklyn,NY,11208,-73.870186,40.68036,EAST NEW YORK,02 TWO FAMILY DWELLINGS,"2,392","2,886",2002,"253,000",5/9/17
95,1047 EAST 81ST STREET,Brooklyn,NY,11236,-73.9098,40.633583,CANARSIE,01 ONE FAMILY DWELLINGS,"1,800","1,224",1960,"255,000",4/7/17
96,3830 LYME AVENUE,Brooklyn,NY,11224,-74.00647,40.577232,SEAGATE,01 ONE FAMILY DWELLINGS,"3,000","2,280",1960,"260,000",1/12/17
97,152 31ST STREET,Brooklyn,NY,11232,-74.001976,40.657383,SUNSET PARK,03 THREE FAMILY DWELLINGS,"1,669","1,920",1910,"260,000",2/14/17
98,451 NEWPORT STREET,Brooklyn,NY,11207,-73.89852,40.66091,EAST NEW YORK,02 TWO FAMILY DWELLINGS,"2,250","1,672",1901,"261,250",5/9/17
99,2048 EASTERN PARKWAY,Brooklyn,NY,11207,-73.90476,40.68074,BUSHWICK,02 TWO FAMILY DWELLINGS,825,"1,734",1905,"262,000",3/31/17
100,1210 40TH STREET,Brooklyn,NY,11218,-73.988716,40.641174,BOROUGH PARK,02 TWO FAMILY DWELLINGS,"1,937","2,352",1901,"262,500",1/20/17
101,714 CLARKSON AVENUE,Brooklyn,NY,11203,-73.9353,40.656322,FLATBUSH-NORTH,01 ONE FAMILY DWELLINGS,"1,091","1,812",2005,"265,000",1/18/17
102,436 EAST 53RD STREET,Brooklyn,NY,11203,-73.92718,40.649128,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,"2,000","1,120",1925,"265,000",3/15/17
103,817 LOGAN STREET,Brooklyn,NY,11208,-73.87246,40.666016,EAST NEW YORK,02 TWO FAMILY DWELLINGS,"1,800","1,080",1910,"268,710",2/14/17
104,9 LAKE AVENUE,Brooklyn,NY,11235,-73.93773,40.584114,SHEEPSHEAD BAY,01 ONE FAMILY DWELLINGS,"1,200",635,1920,"269,000",1/6/17
105,247 EAST 45TH STREET,Brooklyn,NY,11203,-73.93563,40.65558,FLATBUSH-NORTH,03 THREE FAMILY DWELLINGS,"2,433","2,470",1935,"270,000",2/15/17
106,141 28TH AVENUE,Brooklyn,NY,11214,-73.98716,40.587605,GRAVESEND,03 THREE FAMILY DWELLINGS,"1,933","2,640",1930,"270,000",2/22/17
107,62 DE SALES PLACE,Brooklyn,NY,11207,-73.904655,40.682163,BUSHWICK,02 TWO FAMILY DWELLINGS,"2,000","2,000",1905,"270,000",3/21/17
108,58 AUTUMN AVENUE,Brooklyn,NY,11208,-73.8714,40.688854,CYPRESS HILLS,02 TWO FAMILY DWELLINGS,"2,000","1,680",1915,"270,000",4/10/17
109,723 WARWICK STREET,Brooklyn,NY,11207,-73.88359,40.66506,EAST NEW YORK,03 THREE FAMILY DWELLINGS,"2,000","2,000",1970,"270,750",5/31/17
110,1150 EAST 89TH STREET,Brooklyn,NY,11236,-73.90208,40.635536,CANARSIE,01 ONE FAMILY DWELLINGS,"2,315","1,440",1930,"270,770",1/25/17
111,9316 AVENUE M,Brooklyn,NY,11236,-73.896065,40.635365,CANARSIE,02 TWO FAMILY DWELLINGS,"2,253","2,016",1940,"275,000",1/9/17
112,1821 ROCKAWAY PARKWAY,Brooklyn,NY,11236,-73.89396,40.637646,CANARSIE,02 TWO FAMILY DWELLINGS,"2,750",720,1920,"275,000",3/1/17
113,739 EAST 88TH STREET,Brooklyn,NY,11236,-73.908714,40.640415,CANARSIE,03 THREE FAMILY DWELLINGS,"2,375","3,360",1925,"275,000",3/1/17
114,144 VERMONT ST,Brooklyn,NY,11207,-73.89508,40.676544,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,"1,975","2,054",2005,"275,000",3/9/17
117,440 CLEVELAND STREET,Brooklyn,NY,11208,-73.88431,40.67397,EAST NEW YORK,03 THREE FAMILY DWELLINGS,"1,550","3,108",1901,"275,000",4/25/17
118,648 EAST 40TH STREET,Brooklyn,NY,11203,-73.9388,40.63976,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,"2,000","1,280",1930,"275,000",5/11/17
119,1512 EAST 51ST STREET,Brooklyn,NY,11234,-73.92635,40.623447,OLD MILL BASIN,01 ONE FAMILY DWELLINGS,"1,404",868,1920,"275,000",5/11/17
120,1217 EAST 9TH STREET,Brooklyn,NY,11230,-73.96609,40.619255,OCEAN PARKWAY-NORTH,02 TWO FAMILY DWELLINGS,"3,000","2,552",1925,"275,000",5/25/17
